Open,High,Low,Close,Volume,Dividends,Stock Splits
40.175173442817915,40.68043228623785,39.96267918367912,40.67098617553711,102223600,0.0,0.0
40.73472223646638,41.21164980580133,40.60014582293513,40.66389083862305,118071600,0.0,0.0
40.73708036035015,40.95665732476747,40.62847534354389,40.8527717590332,89738400,0.0,0.0
40.949586388363635,41.4052621303685,40.857506628948194,41.31790542602539,94640000,0.0,0.0
41.164432525634766,41.461920091127155,41.065266401169204,41.164432525634766,82271200,0.0,0.0
41.211652719001165,41.33206358200235,40.9424962702778,41.15970993041992,86336000,0.0,0.0
40.883464033815144,41.15262043864064,40.84568681143825,41.1502571105957,95839600,0.0,0.0
41.22109915364886,41.43359338245289,41.19749108553851,41.384010314941406,74670800,0.0,0.0
41.59649404223528,41.875096579757646,41.47136013383522,41.81134796142578,101672400,0.0,0.0
42.002594579588305,42.35438827715946,41.5870558596941,41.59886169433594,118263600,0.0,0.0
41.58941459122143,42.32133308989701,41.33442730275577,42.285919189453125,137547200,0.0,0.0
42.34967135008758,42.522028634998875,42.08523790849885,42.323699951171875,124773600,0.0,0.0
42.17022911763423,42.399248621478655,41.88690709717116,42.13481521606445,129700400,0.0,0.0
41.86093913864063,41.974267235603236,41.695668246687816,41.79010772705078,108434400,0.0,0.0
41.86093418542972,42.36619291112068,41.747606101876706,41.79954528808594,130756400,0.0,0.0
41.849125209915634,41.86093104333674,40.89291034495906,41.13373565673828,204420400,0.0,0.0
41.202206121278834,41.306091697207705,40.26252008901866,40.39945983886719,166116000,0.0,0.0
40.609587886348486,40.609587886348486,40.15154893492978,40.493896484375,156572000,0.0,0.0
40.17516310372781,40.17516310372781,39.44560795449787,39.655738830566406,202561600,0.0,0.0
39.08200921853472,39.51643653907975,38.88604389833962,39.4219970703125,184192800,0.0,0.0
39.3983810041974,39.76906326313503,39.31102432520661,39.53059768676758,129915600,0.0,0.0
39.46921295609363,39.81156050028645,39.372410168333715,39.61323547363281,188923200,0.0,0.0
39.19297543344468,39.381857963289406,37.79997353077971,37.894412994384766,346375200,0.0,0.0
37.56387806796186,38.692446794688934,36.83195948332878,36.94765090942383,290954000,0.0,0.0
36.555703870873835,38.65465227400597,36.35973861356263,38.49174118041992,272975200,0.0,0.0
38.50591891835885,38.57911004671825,37.55679037283825,37.667755126953125,206434400,0.0,0.0
37.8448410130242,38.01247525302643,36.60294405015367,36.63127517700195,217562000,0.0,0.0
37.23578652105617,37.430177862964456,35.61663277902689,37.079322814941406,282690400,0.1575,0.0
37.5747816964498,38.852561194304926,37.34008617415373,38.57282638549805,243278000,0.0,0.0
38.39265506377067,39.05643742480399,38.32153487913802,38.9592399597168,130196800,0.0,0.0
38.65105981550124,39.71785186856832,38.61313218055791,39.67755126953125,162579600,0.0,0.0
40.251250369752505,41.03356531356315,40.06397067832235,41.00986099243164,204588800,0.0,0.0
40.86050542186433,41.443686654829335,40.72063800205758,40.877098083496094,160704400,0.0,0.0
40.78702102613304,41.31093248412197,40.63766896599905,40.73960876464844,135722000,0.0,0.0
40.971928060932704,41.27774019747475,40.540468196509664,40.55469512939453,149886400,0.0,0.0
40.7277473231872,41.23743537095766,40.70641235203171,40.89369201660156,123967600,0.0,0.0
41.17105972571856,41.64044720320259,41.14024013194104,41.604888916015625,135249600,0.0,0.0
41.80639661196416,42.52707231720443,41.773207670617374,42.42750549316406,152648800,0.0,0.0
42.458326220235115,42.785473331572796,42.23548462925283,42.290008544921875,155712400,0.0,0.0
42.49624792120342,42.81865629385504,42.20940144997039,42.22599411010742,151128400,0.0,0.0
42.32556682006855,42.619528606400955,40.931627629457836,41.486358642578125,195208000,0.0,0.0
40.96482390345314,41.794551224807066,40.881849724388125,41.773216247558594,153816000,0.0,0.0
41.536137759308566,42.13591159528229,41.372562419075216,41.91781234741211,113605600,0.0,0.0
42.176213491702796,42.25681468240653,41.75423829646208,41.88225173950195,95154000,0.0,0.0
41.472138078133206,41.6878680255433,41.313305014300916,41.493473052978516,126814000,0.0,0.0
41.60014981062729,41.988936122228544,41.502955945719606,41.946266174316406,95096400,0.0,0.0
42.188058982745225,42.67166964712417,42.052930292547984,42.666927337646484,128740800,0.0,0.0
42.74043632625813,43.23827414585145,42.72147431435407,43.07944107055664,128828400,0.0,0.0
43.28567098763078,43.5014008737452,42.491505894116735,42.6645622253418,126774000,0.0,0.0
42.74754011844557,42.79495237011644,42.15250496540887,42.301856994628906,117473600,0.0,0.0
42.316076697859565,42.72857084857905,42.214140546330846,42.35163497924805,90975200,0.0,0.0
42.351645647467905,42.463066446981784,42.10746907423285,42.20229721069336,157618800,0.0,0.0
42.03635199419577,42.07191028411886,41.16869354683758,41.55747985839844,133787200,0.0,0.0
41.54323959350586,41.91306012711953,41.47211942535199,41.54323959350586,78597600,0.0,0.0
41.495832307371344,41.507686274065726,40.59972740858192,40.60210037231445,148219600,0.0,0.0
40.30103506728958,40.93636729556452,39.969145637194245,40.028411865234375,165963200,0.0,0.0
39.91935940895187,40.28206842603952,39.10148620605469,39.10148620605469,164115200,0.0,0.0
39.84350207236722,41.035938307586214,39.45708510267539,40.957706451416016,150164800,0.0,0.0
41.17342681776193,41.52191248240395,39.57086952358204,39.907501220703125,163690400,0.0,0.0
39.649112831956344,40.30578375538717,39.16075961441232,39.46657180786133,166674000,0.0,0.0
39.78186141367435,40.71589772482341,39.5661314804245,39.774749755859375,153594000,0.0,0.0
39.50449985988432,40.04974992330663,38.99006939495973,39.513980865478516,150347200,0.0,0.0
39.74156242726164,40.00470462907025,39.08726456045377,39.91936111450195,121112000,0.0,0.0
